matched_registration_number,match_method,tribunal_property_factor,tribunal_registration_number,case_references,case_urls,application_complaints,hearing_date,outcome,outcome_type,pfeo_resolved,section_1_written_statement,section_2_communication,section_3_financial,section_4_debt,section_5_insurance,section_6_repairs,section_7_complaints,property_factor_duties,pdf_files,pdf_urls,upper_tribunal_decisions,upper_tribunal_urls
PF000418,fuzzy_name (97%),Quartermile Estate Ltd,,HOHP/PF/16/0010,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/quartermile-estate-ltd-hohppf160010,,2016-08-04T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,False,16.0010 decision_Redacted.pdf | 16.0010 proposed pfeo_Redacted.pdf | 0010 PFEO_Redacted.pdf | 0010 Failure to Comply.pdf | Written Decision (Certificate of Compliance) - PF.16.0010_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/16.0010%20decision_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/16.0010%20proposed%20pfeo_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0010%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0010%20Failure%20to%20Comply.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Certificate%20of%20Compliance%29%20-%20PF.16.0010_Redacted_0.pdf,,
PF000418,fuzzy_name (97%),Quartermile Estate Ltd,,HOHP/PF/16/0009,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/quartermile-estate-ltd-hohppf160009,,2016-07-25T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,16.0009 decision_Redacted.pdf | 16.0009 proposed pfeo_Redacted.pdf | 0009 PFEO_Redacted.pdf | Failure to Comply 0009.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/16.0009%20decision_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/16.0009%20proposed%20pfeo_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0009%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Failure%20to%20Comply%200009.pdf,,
PF000123,exact_name,Places for People Scotland,,HOHP/PF/16/0022,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/hohppf160022,,2016-07-12T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,False,PF.16.0022 - Decision_Redacted.pdf | PF.16.0022 - Proposed PFEO_Redacted.pdf | 0022 - PFEO_Redacted.pdf | HOHP-PF-16-0022 Certificate of Compliance_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.16.0022%20-%20Decision_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.16.0022%20-%20Proposed%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0022%20-%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/HOHP-PF-16-0022%20Certificate%20of%20Compliance_Redacted.pdf,,
PF000103,manual_mapping,James Gibb Residential Factors,,HOHP/PF/16/0024,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/james-gibb-residential-factors-hohppf160024,,2016-06-30T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,PF.16.0024 - Decision (Complied)_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.16.0024%20-%20Decision%20%28Complied%29_Redacted.pdf,,
PF000184,exact_name,South Lanarkshire Council,,HOHP/PF/16/0015,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/south-lanarkshire-council-hohppf160015,,2016-06-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0015 complied decision redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0015%20complied%20decision%20redacted.pdf,,
PF000103,manual_mapping,James Gibb Property Management,,HOHP/PF/14/0163,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/james-gibb-property-management-hohppf140163,,2016-06-20T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0163 Decision (2)_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0163%20Decision%20%282%29_Redacted.pdf,,
PF000160,exact_name,Speirs Gumley,,HOHP/PF/16/0008,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/speirs-gumley-hohppf160008,,2016-05-27T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0008 - Complied Decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0008%20-%20Complied%20Decision_Redacted.pdf,,
PF000212,registration_number,YourPlace Property Management,PF000212,HOHP/PF/15/0132,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/hohppf150132-complied,"Communication and consultation (Section 2 of Code), Property Factor Duties",2016-05-26T12:00:00Z,Decision Issued,negative,,False,True,False,False,False,False,False,True,PF.15.0132 - Complied Decision.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.15.0132%20-%20Complied%20Decision.pdf,,
PF000212,fuzzy_name (95%),Your Place Property Management,,HOHP/PF/15/0045,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/your-place-property-management-hohppf150045,,2016-05-24T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0045 Decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0045%20Decision_Redacted.pdf,,
PF000170,exact_name,Trinity Factoring Services Ltd,,HOHP/LM/15/0159,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/trinity-factoring-services-ltd-hohplm150159,,2016-05-18T12:00:00Z,PFEO Proposed,negative,pending,False,False,False,False,False,False,False,False,0159 Decision_Redacted.pdf | 0159 Proposed PFEO_Redacted.pdf | 0159 PFEO_Redacted.pdf | 0159 Certificate of Complaince.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0159%20Decision_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0159%20Proposed%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0159%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0159%20Certificate%20of%20Complaince.pdf,,
PF000042,manual_mapping,Newton Property Management,,HOHP/PF/15/0156/0157/0161,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/newton-property-management-hohppf15015601570161,"Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2016-05-12T12:00:00Z,Decision Issued,negative,,False,False,False,False,True,True,True,True,0156 0157 0161 - Decision Complied_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0156%200157%200161%20-%20Decision%20Complied_Redacted.pdf,,
PF000288,manual_mapping,Hacking and Paterson Management Services,,HOHP/PF/15/0103/0104,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/hacking-paterson-management-services-hohppf1501030104,,2016-05-11T12:00:00Z,PFEO Proposed,negative,pending,False,False,False,False,False,False,False,False,0103 0104 Proposed PFEO _Redacted.pdf | 0103.0104 - PFEO_Redacted.pdf | 0103 0104 Decision 2_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0103%200104%20Proposed%20PFEO%20_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0103.0104%20-%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0103%200104%20Decision%202_Redacted.pdf,,
PF000095,exact_name,Firstport Property Services Scotland,,HOHP/PF/15/0138,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/firstport-property-services-scotland-hohppf150138,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2016-05-10T12:00:00Z,PFEO Proposed,negative,pending,True,True,True,True,True,True,True,True,0138 proposed pfeo_Redacted.pdf | 0138 decision_Redacted_0.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0138%20proposed%20pfeo_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0138%20decision_Redacted_0.pdf,,
PF000103,manual_mapping,James Gibb Residential Factors,,HOHP/PF/16/0016,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/james-gibb-residential-factors-hohppf160016,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code)",2016-05-06T12:00:00Z,Failure to Comply,negative,unresolved,False,True,True,False,True,True,True,False,pf.16.0016 -Proposed PFEO_Redacted.pdf | 0016 PFEO_Redacted.pdf | pf.16.0016 - Failure to Comply_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/pf.16.0016%20-Proposed%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0016%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/pf.16.0016%20-%20Failure%20to%20Comply_Redacted.pdf,,
PF000309,fuzzy_name (91%),Factor 4 You,,HOHP/PF/15/0135,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/factor-4-you-hohppf150135,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2016-05-03T12:00:00Z,PFEO Proposed,negative,pending,True,True,True,True,True,True,True,True,0135 - Proposed PFEO_Redacted.pdf | 0135 - Descision_Redacted.pdf | 0135 PFEO_0.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0135%20-%20Proposed%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0135%20-%20Descision_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0135%20PFEO_0.pdf,,
PF000103,manual_mapping,James Gibb Residential Factors,,HOHP/LM/15/0069,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/james-gibb-residential-factors-hohplm150069,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2016-04-26T12:00:00Z,Complied,positive,resolved,True,True,True,True,False,True,True,True,0069 - Proposed PFEO (2)_Redacted.pdf | 0069 - PFEO_Redacted.pdf | 0069 Certificate of Compliance_Redacted.pdf | 0069 Decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0069%20-%20Proposed%20PFEO%20%282%29_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0069%20-%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0069%20Certificate%20of%20Compliance_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0069%20Decision_Redacted.pdf,,
PF000390,exact_name,Sheltered Housing Management,,HOHP/PF/14/0203,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/sheltered-housing-management-hohppf140203,,2016-04-20T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0203 - Committee Decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0203%20-%20Committee%20Decision_Redacted.pdf,,
PF000188,exact_name,Greenhome Property Management Ltd,,HOHP/PF/15/0121,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/greenhome-property-management-ltd-hohppf150121,,2016-04-13T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0121 Decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0121%20Decision_Redacted.pdf,,
PF000042,manual_mapping,Yourplace Property Management,,HOHP/PF/15/0068,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/yourplace-property-management-hohppf150068,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2016-04-05T12:00:00Z,PFEO Proposed,negative,pending,True,True,False,False,False,True,False,True,HOHP-PF-15-0068 Committee Decision_Redacted_0.pdf | HOHP-PF-15-0068 Proposed PFEO_Redacted_0.pdf | 0068 - PFEO_Redacted_0.pdf | pf.15.0068 Written Decision (Revoke)_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/HOHP-PF-15-0068%20Committee%20Decision_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/HOHP-PF-15-0068%20Proposed%20PFEO_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0068%20-%20PFEO_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/pf.15.0068%20Written%20Decision%20%28Revoke%29_Redacted.pdf,,
PF000042,manual_mapping,Yourplace Property Management,,HOHP/PF/15/0068,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/yourplace-property-management-hohppf150068-0,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2016-04-05T12:00:00Z,PFEO Proposed,negative,pending,True,True,False,False,False,True,False,True,HOHP-PF-15-0068 Committee Decision_Redacted.pdf | HOHP-PF-15-0068 Proposed PFEO_Redacted.pdf | 0068 - PFEO_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/HOHP-PF-15-0068%20Committee%20Decision_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/HOHP-PF-15-0068%20Proposed%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0068%20-%20PFEO_Redacted.pdf,,
PF000383,registration_number,Apex Property Factor,PF000383,HOHP/PF/15/0110,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/16-eastsidekirkintillochg66-1py,,2016-03-31T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) pf.15.0110_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Failure%20to%20Comply%29%20pf.15.0110_Redacted.pdf,,
PF000383,exact_name,Apex Property Factor,,HOHP/PF/15/0110,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/apex-property-factor-hohppf150110,,2016-03-31T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,False,HOHP.PF_.15.0110 - Proposed PFEO_Redacted.pdf | HOHP-PF-15-0110 PFEO_Redacted.pdf | Written Decision (Certificate of Compliance) - PF.15.0110_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/HOHP.PF_.15.0110%20-%20Proposed%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/HOHP-PF-15-0110%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Certificate%20of%20Compliance%29%20-%20PF.15.0110_Redacted.pdf,,
PF000110,exact_name,Redpath Bruce Property Management Limited,,HOHP/PF/16/0012,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/redpath-bruce-property-management-limited-hohppf160012,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2016-03-31T12:00:00Z,PFEO Proposed,negative,pending,False,True,True,True,True,True,True,True,hohp.pf_.16.0012 - Decision and Proposed PFEO_Redacted.pdf | pf.16.0012 - PFEO_Redacted.pdf | PF.16.0012 - Certificate of Completion_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/hohp.pf_.16.0012%20-%20Decision%20and%20Proposed%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/pf.16.0012%20-%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.16.0012%20-%20Certificate%20of%20Completion_Redacted.pdf,,
PF000112,exact_name,Irvine Housing Association,,HOHP/LM/15/0105,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/irvine-housing-association-hohplm150105,,2016-03-30T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0105 Decision_20160504105639_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0105%20Decision_20160504105639_Redacted.pdf,,
PF000196,exact_name,Ross & Liddell,,HOHP/PF/15/0140,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ross-liddell-hohppf150140,,2016-03-29T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0140 Decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0140%20Decision_Redacted.pdf,,
PF000769,exact_name,Bute Factors Ltd,,HOHP/PF/15/0117,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/bute-factors-ltd-hohppf150117,,2016-03-23T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,0117 Decision_Redacted.pdf | 0117 Proposed PFEO_Redacted.pdf | hohp.pf_.15.0117 - PFEO_Redacted.pdf | 0117 - Failure to Comply with PFEO_Redacted 3.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0117%20Decision_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0117%20Proposed%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/hohp.pf_.15.0117%20-%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0117%20-%20Failure%20to%20Comply%20with%20PFEO_Redacted%203.pdf,,
PF000196,fuzzy_name (100%),Ross and Liddell,,HOHP/PF/15/0125,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ross-liddell-hohppf150125,,2016-03-18T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0125 Decision_20160504121957_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0125%20Decision_20160504121957_Redacted.pdf,,
PF000334,exact_name,West Dunbartonshire Council,,HOHP/PF/14/0102/0105,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/west-dunbartonshire-council-hohppf1401020105,,2016-03-11T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0102 0105 Decision_20160509111659_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0102%200105%20Decision_20160509111659_Redacted.pdf,,
PF000203,exact_name,Life Property Management,,HOHP/PF/15/0087,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/life-property-management-hohppf150087,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2016-03-04T12:00:00Z,Decision Issued,negative,,False,True,True,False,True,True,False,True,hohp.pf_.15.0087 - Decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/hohp.pf_.15.0087%20-%20Decision_Redacted.pdf,,
PF000311,exact_name,Be Factored,,HOHP/PF/15/0126,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/be-factored-hohppf150126,,2016-02-15T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,0126 Decision_Redacted.pdf | 0126 Proposed PFEO_Redacted.pdf | 15.0126 PFEO_Redacted.pdf | HOHP-PF-15-0126 Committee Decision Failure to Comply_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0126%20Decision_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0126%20Proposed%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/15.0126%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/HOHP-PF-15-0126%20Committee%20Decision%20Failure%20to%20Comply_Redacted.pdf,,
PF000187,exact_name,J. B. & G. Forsyth Property Management Services,,HOHP/PF/15/0114,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/j-b-g-forsyth-property-management-services-hohppf150114,,2016-02-03T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0114 complied decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0114%20complied%20decision_Redacted.pdf,,
PF000365,exact_name,Falkirk Council,,HOHP/PF/15/0052,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/falkirk-council-hohppf150052,,2016-01-29T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0052 Decision_Redacted..pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0052%20Decision_Redacted..pdf,,
PF000311,fuzzy_name (100%),Be- Factored (Formely Property 2),,HOHP/PF/15/0118/0119,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/be-factored-formely-property-2-hohppf1501180119,,2016-01-28T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,0118 0119 decision_Redacted.pdf | 0118 0119 proposed pfeo_Redacted.pdf | 0118 0119 Varied PFEO_Redacted.pdf | 0118 0119 Failure to Comply_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0118%200119%20decision_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0118%200119%20proposed%20pfeo_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0118%200119%20Varied%20PFEO_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0118%200119%20Failure%20to%20Comply_Redacted.pdf,,
PF000106,exact_name,Clyde Valley Property Services Ltd,,HOHP/PF/15/0072,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/clyde-valley-property-services-ltd-hohppf150072,,2016-01-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0072 decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0072%20decision_Redacted.pdf,,
PF000106,exact_name,Clyde Valley Property Services Ltd,,HOHP/PF/15/0073,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/clyde-valley-property-services-ltd-hohppf150073,,2016-01-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0073 Decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0073%20Decision_Redacted.pdf,,
PF000106,exact_name,Clyde Valley Property Services Ltd,,HOHP/PF/15/0074,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/clyde-valley-property-services-ltd-hohppf150074,,2016-01-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,15.0074 decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/15.0074%20decision_Redacted.pdf,,
PF000106,exact_name,Clyde Valley Property Services Ltd,,HOHP/PF/15/0075,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/clyde-valley-property-services-ltd-hohppf150075,,2016-01-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0075 Decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0075%20Decision_Redacted.pdf,,
PF000106,exact_name,Clyde Valley Property Services Ltd,,HOHP/PF/15/0076,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/clyde-valley-property-services-ltd-hohppf150076,,2016-01-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0076 Decision_Redacted_0.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0076%20Decision_Redacted_0.pdf,,
PF000106,exact_name,Clyde Valley Property Services Ltd,,HOHP/PF/15/0077,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/clyde-valley-property-services-ltd-hohppf150077,,2016-01-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,15.0077 decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/15.0077%20decision_Redacted.pdf,,
PF000106,exact_name,Clyde Valley Property Services Ltd,,HOHP/PF/15/0078,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/clyde-valley-property-services-ltd-hohppf150078,,2016-01-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0078 decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0078%20decision_Redacted.pdf,,
PF000106,exact_name,Clyde Valley Property Services Ltd,,HOHP/PF/15/0079,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/clyde-valley-property-services-ltd-hohppf150079,,2016-01-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0079 decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0079%20decision_Redacted.pdf,,
PF000106,exact_name,Clyde Valley Property Services Ltd,,HOHP/PF/15/0080,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/clyde-valley-property-services-ltd-hohppf150080,,2016-01-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0080 decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0080%20decision_Redacted.pdf,,
PF000106,exact_name,Clyde Valley Property Services Ltd,,HOHP/PF/15/0081,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/clyde-valley-property-services-ltd-hohppf150081,,2016-01-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,15.0081 decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/15.0081%20decision_Redacted.pdf,,
PF000106,exact_name,Clyde Valley Property Services Ltd,,HOHP/PF/15/0082,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/clyde-valley-property-services-ltd-hohppf150082,,2016-01-22T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,0082 decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0082%20decision_Redacted.pdf,,
